Year,Price,Production,Consumption,Shortage
1946,21.29333333,4354.179,,
1947,25.29166667,4796.5376,,
1948,32.83083333,5428.8726,,
1949,33.14833333,5397.739,,
1950,32.80333333,6055.578,,
1951,30.405,6867.236,,
1952,29.725,7218.299,,
1953,31.15,7632.513,,
1954,32.25,7990.694,,
1955,32.34,8955.483,,
1956,31.8575,9745.858,,
1957,33.26583333,10270.767,,
1958,32.54333333,10527.977,,
1959,31.34083333,11360.858,,
1960,30.83583333,12240.843,,
1961,30.50833333,13029.392,,
1962,30.15,14133.672,,
1963,29.78,15164.043,,
1964,29.155,16376.738,,
1965,28.45583333,18231.082,17996.53,-234.552
1966,27.78333333,19796.81,19352.656,-444.154
1967,27.86,21238.463,20744.31,-494.153
1968,27.10416667,23170.031,22499.12,-670.911
1969,27.57666667,24940.334,24363.566,-576.768
1970,26.50583333,27433.885,26520.377,-913.508
1971,26.99833333,29000.791,28021.105,-979.686
1972,26.14333333,30649.97,30139.71,-510.26
1973,26.73833333,33445.125,32560.594,-884.531
1974,64.59333333,33519.68,32120.803,-1398.877
1975,63.7,31837.768,31746.924,-90.844
1976,68.1775,34590.74,33782.324,-808.416
1977,72.41583333,35798.867,34960.312,-838.555
1978,69.94583333,36124.168,36550.02,425.852
1979,93.96166667,37653.043,37114.258,-538.785
1980,139.3508333,35949.586,35525.133,-424.453
1981,123.9991667,33877.83,34268.04,390.21
1982,106.9958333,32537.879,33208.07,670.191
1983,93.73916667,32122.488,32956.613,834.125
1984,86.47666667,32752.213,33680.13,927.917
1985,79.55583333,32465.695,33667.098,1201.403
1986,40.35833333,34069.387,34712.902,643.515
1987,51.44333333,34148.08,35404.36,1256.28
1988,41.5125,35607.57,36551.46,943.89
1989,48.46416667,36037.492,37164.043,1126.551
1990,58.0825,36726.777,37676.57,949.793
1991,47.55083333,36627.695,37663.043,1035.348
1992,44.97,37157.977,38147.168,989.191
1993,39.37916667,37105.15,37961.344,856.194
1994,36.11333333,37619.203,38782.055,1162.852
1995,37.11666667,38135.51,39460.77,1325.26
1996,42.49916667,39151.24,40334.64,1183.4
1997,38.99416667,40023.2,41453.445,1430.245
1998,27.38916667,41034.707,41670.18,635.473
1999,36.14,40104.688,42383.22,2278.532
2000,53.025,41844.168,42978.04,1133.872
2001,43.78166667,41841.914,43377.22,1535.306
2002,45.31166667,41337.14,43676.043,2338.903
2003,51.48083333,43173.34,44652.22,1478.88
2004,67.55416667,45335.406,46387.812,1052.406
2005,89.98333333,45723.043,46887.754,1164.711
2006,101.975,46130.555,47388.004,1257.449
2007,110.8425,46036.695,47942.97,1906.275
2008,140.2075,46524.33,47537.797,1013.467
2009,91.35666667,45365.8,46489.17,1123.37
2010,112.615,46264.992,47971.41,1706.418
2011,132.4266667,46622.28,48312.62,1690.34
2012,125.82,47921.215,49113.688,1192.473
2013,128.635,47986.426,49590.31,1603.884
2014,118.2883333,49112.78,49934.684,821.904
2015,63.87166667,50762.11,50964.02,201.91
2016,56.84166667,50904.277,51992.56,1088.283
2017,64.95916667,50996.598,52866.46,1869.862
2018,78.915,52190.7,53405.137,1214.437
2019,68.59083333,52092.734,53512.844,1420.11
2020,45.76083333,48560.844,48609.645,48.801
2021,77.17833333,49192.05,51349.656,2157.606
2022,98.4,51255.57,52969.59,1714.02
2023,77.9125,,,0